Date,Transactions,Login_Success_Rate,Error_Rate,Support_Tickets
2026-01-12 01:00:20.690585,15496,98.55,1.33,178
2026-01-13 01:00:20.690613,14861,98.98,1.03,121
2026-01-14 01:00:20.690616,15647,98.15,0.99,173
2026-01-15 01:00:20.690617,16523,98.34,1.3,150
2026-01-16 01:00:20.690619,14765,98.3,1.16,130
2026-01-17 01:00:20.690621,14765,97.77,1.34,159
2026-01-18 01:00:20.690623,16579,98.65,1.29,153
2026-01-19 01:00:20.690624,15767,98.63,1.19,137
2026-01-20 01:00:20.690625,14530,98.5,1.03,151
2026-01-21 01:00:20.690627,15542,98.38,0.9,142
2026-01-22 01:00:20.690629,14536,97.79,1.11,152
2026-01-23 01:00:20.690630,14534,98.29,1.37,163
2026-01-24 01:00:20.690632,15241,98.33,1.24,181
2026-01-25 01:00:20.690634,13086,98.1,0.95,125
2026-01-26 01:00:20.690635,13275,98.42,1.23,192
2026-01-27 01:00:20.690637,14437,98.7,1.28,110
2026-01-28 01:00:20.690638,13987,99.44,1.02,146
2026-01-29 01:00:20.690640,15314,98.59,1.23,161
2026-01-30 01:00:20.690641,14091,98.63,1.21,155
2026-01-31 01:00:20.690643,13587,98.46,0.97,137
2026-02-01 01:00:20.690644,16465,97.54,1.27,145
2026-02-02 01:00:20.690646,14774,98.49,1.31,140
2026-02-03 01:00:20.690648,15067,98.53,1.42,138
2026-02-04 01:00:20.690649,13575,99.73,1.41,166
2026-02-05 01:00:20.690651,14455,98.4,0.92,157
2026-02-06 01:00:20.690652,15110,98.65,1.01,136
2026-02-07 01:00:20.690654,13849,98.48,1.3,167
2026-02-08 01:00:20.690655,15375,97.92,1.3,156
2026-02-09 01:00:20.690657,14399,99.07,1.3,166
2026-02-10 01:00:20.690658,14708,98.88,1.97,162
2026-02-11 01:00:20.690660,14398,98.9,1.31,133
2026-02-12 01:00:20.690661,16852,98.05,1.43,138
2026-02-13 01:00:20.690663,14986,99.2,1.39,164
2026-02-14 01:00:20.690665,13942,97.8,1.33,162
2026-02-15 01:00:20.690666,15822,98.79,1.14,149
2026-02-16 01:00:20.690668,13779,99.6,1.35,152
2026-02-17 01:00:20.690718,15208,98.0,1.05,175
2026-02-18 01:00:20.690723,13040,98.22,1.15,138
2026-02-19 01:00:20.690725,13671,98.55,1.1,160
2026-02-20 01:00:20.690727,15196,98.25,1.22,145
2026-02-21 01:00:20.690728,15738,97.72,1.66,145
2026-02-22 01:00:20.690730,15171,98.53,0.83,171
2026-02-23 01:00:20.690732,14884,97.97,1.34,166
2026-02-24 01:00:20.690733,14698,98.74,0.88,166
2026-02-25 01:00:20.690735,13521,98.04,1.11,176
2026-02-26 01:00:20.690736,14280,99.27,1.42,150
2026-02-27 01:00:20.690738,14539,98.11,1.21,163
2026-02-28 01:00:20.690739,16057,98.34,0.98,143
2026-03-01 01:00:20.690741,15343,98.91,1.06,156
2026-03-02 01:00:20.690742,13236,97.88,1.34,147
2026-03-03 01:00:20.690744,15324,98.61,1.05,151
2026-03-04 01:00:20.690745,14614,99.15,1.24,161
2026-03-05 01:00:20.690747,14323,97.7,1.21,133
2026-03-06 01:00:20.690748,15611,98.59,1.07,191
2026-03-07 01:00:20.690750,16030,98.63,1.63,129
2026-03-08 01:00:20.690752,15931,98.89,1.33,125
2026-03-09 01:00:20.690753,14160,97.88,0.79,173
2026-03-10 01:00:20.690754,14690,97.84,1.24,165
2026-03-11 01:00:20.690756,15331,98.76,1.07,162
2026-03-12 01:00:20.690757,15975,98.65,1.37,162
2026-03-13 01:00:20.690759,14520,98.63,1.04,149
2026-03-14 01:00:20.690760,14814,98.67,1.18,132
2026-03-15 01:00:20.690762,13893,98.16,1.3,151
2026-03-16 01:00:20.690763,13803,98.62,1.37,136
2026-03-17 01:00:20.690765,15812,98.65,0.96,169
2026-03-18 01:00:20.690767,16356,98.14,1.13,147
2026-03-19 01:00:20.690768,14927,99.43,1.11,133
2026-03-20 01:00:20.690770,16003,98.74,1.07,143
2026-03-21 01:00:20.690771,15361,97.9,1.55,158
2026-03-22 01:00:20.690773,14354,98.83,1.28,138
2026-03-23 01:00:20.690774,15361,98.01,0.95,133
2026-03-24 01:00:20.690776,16538,98.89,1.38,154
2026-03-25 01:00:20.690777,14964,99.08,1.62,154
2026-03-26 01:00:20.690779,16564,98.09,1.41,139
2026-03-27 01:00:20.690780,8666,83.98,5.4,421
2026-03-28 01:00:20.690782,11075,83.71,5.6,463
2026-03-29 01:00:20.690783,10560,83.91,5.95,363
2026-03-30 01:00:20.690785,14700,99.45,1.06,121
2026-03-31 01:00:20.690787,15091,98.38,1.29,135
2026-04-01 01:00:20.690788,13012,98.12,1.35,145
2026-04-02 01:00:20.690790,14780,98.06,1.01,156
2026-04-03 01:00:20.690791,15357,98.09,1.19,179
2026-04-04 01:00:20.690793,16477,98.46,0.55,167
2026-04-05 01:00:20.690794,14481,98.67,1.0,146
2026-04-06 01:00:20.690795,14191,98.64,1.15,149
2026-04-07 01:00:20.690797,14498,98.91,0.95,129
2026-04-08 01:00:20.690798,15915,98.51,1.53,149
2026-04-09 01:00:20.690800,15328,99.23,0.91,144
2026-04-10 01:00:20.690801,14470,98.37,1.11,156
2026-04-11 01:00:20.690803,15513,99.86,1.23,133
